Date,Open,High,Low,Close,Volume
2023-03-14,138.82,140.08,138.03,138.65,3299998
2023-03-15,140.0,142.75,138.37,141.0,4807178
2023-03-16,137.21,138.68,135.7,137.07,1666997
2023-03-17,138.61,140.22,137.98,138.3,2726351
2023-03-18,137.72,139.0,135.9,138.43,2072647
2023-03-19,138.11,138.46,136.34,137.98,2631107
2023-03-20,138.17,139.67,136.22,138.12,2028455
2023-03-21,134.22,136.75,132.77,135.14,1912259
2023-03-22,135.1,137.08,133.58,134.81,3269464
2023-03-23,135.79,136.62,134.51,135.35,2305794
2023-03-24,138.43,139.17,135.7,137.56,2263455
2023-03-25,137.63,139.18,135.05,136.78,2412290
2023-03-26,134.47,136.25,134.38,135.57,3523802
2023-03-27,134.07,136.68,134.02,134.82,3429020
2023-03-28,136.6,138.32,135.44,136.19,2950367
2023-03-29,137.1,137.95,135.06,136.69,2910705
2023-03-30,136.3,137.8,133.92,135.89,2601596
2023-03-31,139.74,141.25,136.36,136.66,4791481
2023-04-01,137.26,137.47,135.62,136.81,1928818
2023-04-02,139.17,140.97,137.5,138.26,4562898
2023-04-03,137.97,138.98,135.27,137.21,3154260
2023-04-04,137.24,138.89,135.03,136.71,2529297
2023-04-05,135.87,136.77,134.2,136.13,2159771
2023-04-06,134.54,136.33,132.99,133.93,2085244
2023-04-07,133.76,135.15,132.93,134.38,3382357
2023-04-08,134.58,134.79,134.03,134.77,4487124
2023-04-09,134.39,136.59,134.27,134.77,4709765
2023-04-10,134.49,134.67,132.69,134.42,3227712
2023-04-11,134.15,134.79,130.67,132.3,2047172
2023-04-12,130.18,133.57,128.18,131.67,4512552
2023-04-13,131.7,133.61,129.16,131.15,3245131
2023-04-14,128.66,131.1,127.55,129.95,2198425
2023-04-15,129.33,130.97,127.79,129.71,3845741
2023-04-16,131.19,132.08,128.43,130.32,1051745
2023-04-17,133.2,133.78,131.45,133.14,4516336
2023-04-18,132.54,134.06,132.05,133.41,3094157
2023-04-19,133.22,135.14,132.32,133.79,1091865
2023-04-20,134.23,135.73,133.42,133.68,2261466
2023-04-21,130.22,132.39,128.31,130.8,2072200
2023-04-22,130.94,132.52,129.55,130.76,3120473
2023-04-23,130.89,131.07,130.4,130.85,3500856
2023-04-24,134.03,135.54,132.68,134.55,3906158
2023-04-25,135.98,136.09,133.02,134.26,2222869
2023-04-26,135.22,136.32,134.0,134.71,4025134
2023-04-27,133.04,135.54,132.81,134.66,4929143
2023-04-28,133.06,134.83,131.56,132.91,3283869
2023-04-29,134.09,135.32,133.05,134.62,4125354
2023-04-30,136.43,136.67,134.2,135.75,2429551
